topic,model1,model2,jsd
patriotism-patriotic-patriot,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.236
patriotism-patriotic-patriot,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.319
patriotism-patriotic-patriot,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.327
patriotism-patriotic-patriot,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.323
patriotism-patriotic-patriot,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.295
patriotism-patriotic-patriot,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.39
patriotism-patriotic-patriot,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.386
patriotism-patriotic-patriot,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.383
patriotism-patriotic-patriot,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.341
patriotism-patriotic-patriot,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.348
patriotism-patriotic-patriot,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.332
patriotism-patriotic-patriot,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.287
patriotism-patriotic-patriot,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.266
patriotism-patriotic-patriot,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.289
police-brutality,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.337
police-brutality,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.318
police-brutality,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.283
police-brutality,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.319
police-brutality,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.308
police-brutality,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.328
police-brutality,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.289
police-brutality,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.224
police-brutality,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.31
police-brutality,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.237
police-brutality,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.333
police-brutality,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.275
police-brutality,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.361
police-brutality,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.299
police-brutality,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.224
police-brutality,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.311
police-brutality,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.298
police-brutality,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.349
police-brutality,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.283
police-brutality,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.344
police-brutality,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.341
police-brutality,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.347
police-brutality,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.324
police-brutality,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.275
police-brutality,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.344
police-brutality,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.27
police-brutality,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.291
police-brutality,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.352
religion-religious,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.311
religion-religious,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.306
religion-religious,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.355
religion-religious,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.333
religion-religious,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.372
religion-religious,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.298
religion-religious,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.36
religion-religious,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.222
religion-religious,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.28
religion-religious,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.261
religion-religious,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.31
religion-religious,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.253
religion-religious,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.306
religion-religious,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.304
religion-religious,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.285
religion-religious,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.333
religion-religious,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.294
religion-religious,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.33
religion-religious,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.319
religion-religious,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.366
religion-religious,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.331
religion-religious,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.353
religion-religious,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.368
religion-religious,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.321
religion-religious,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.367
religion-religious,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.25
religion-religious,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.26
religion-religious,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.278
school-choice,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.266
school-choice,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.282
school-choice,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.276
school-choice,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.253
school-choice,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.325
school-choice,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.331
school-choice,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.292
school-choice,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.212
school-choice,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.217
school-choice,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.217
school-choice,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.286
school-choice,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.266
school-choice,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.295
school-choice,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.251
school-choice,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.225
school-choice,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.316
school-choice,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.303
school-choice,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.331
school-choice,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.261
school-choice,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.335
school-choice,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.328
school-choice,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.319
school-choice,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.299
school-choice,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.29
school-choice,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.307
school-choice,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.256
school-choice,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.268
school-choice,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.266
scientific,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.324
scientific,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.339
scientific,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.365
scientific,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.297
scientific,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.31
scientific,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.319
scientific,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.354
scientific,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.248
scientific,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.326
scientific,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.275
scientific,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.334
scientific,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.308
scientific,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.327
scientific,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.338
scientific,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.29
scientific,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.375
scientific,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.339
scientific,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.348
scientific,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.287
scientific,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.404
scientific,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.377
scientific,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.387
scientific,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.333
scientific,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.31
scientific,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.337
scientific,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.287
scientific,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.257
scientific,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.288
social-justice,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.271
social-justice,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.298
social-justice,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.306
social-justice,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.325
social-justice,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.319
social-justice,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.327
social-justice,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.386
social-justice,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.223
social-justice,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.277
social-justice,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.223
social-justice,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.352
social-justice,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.32
social-justice,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.383
social-justice,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.28
social-justice,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.245
social-justice,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.335
social-justice,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.339
social-justice,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.382
social-justice,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.288
social-justice,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.371
social-justice,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.353
social-justice,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.404
social-justice,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.369
social-justice,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.367
social-justice,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.412
social-justice,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.276
social-justice,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.336
social-justice,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.326
social-responsibility,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.238
social-responsibility,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.246
social-responsibility,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.236
social-responsibility,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.245
social-responsibility,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.255
social-responsibility,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.251
social-responsibility,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.254
social-responsibility,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.166
social-responsibility,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.204
social-responsibility,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.172
social-responsibility,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.233
social-responsibility,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.22
social-responsibility,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.245
social-responsibility,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.217
social-responsibility,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.183
social-responsibility,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.234
social-responsibility,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.233
social-responsibility,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.242
social-responsibility,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.199
social-responsibility,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.272
social-responsibility,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.273
social-responsibility,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.28
social-responsibility,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.236
social-responsibility,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.244
social-responsibility,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.251
social-responsibility,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.203
social-responsibility,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.194
social-responsibility,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.223
stereotypes,Apertus-8B-Instruct-2509,Llama-3.1-70B-Instruct,0.282
stereotypes,Apertus-8B-Instruct-2509,Llama-3.1-8B-Instruct,0.264
stereotypes,Apertus-8B-Instruct-2509,Llama-3.2-1B-Instruct,0.309
stereotypes,Apertus-8B-Instruct-2509,Llama-3.2-3B-Instruct,0.28
stereotypes,Apertus-8B-Instruct-2509,Qwen2.5-14B-Instruct,0.282
stereotypes,Apertus-8B-Instruct-2509,Qwen2.5-72B-Instruct,0.273
stereotypes,Apertus-8B-Instruct-2509,Qwen2.5-7B-Instruct,0.254
stereotypes,Llama-3.1-70B-Instruct,Llama-3.1-8B-Instruct,0.193
stereotypes,Llama-3.1-70B-Instruct,Llama-3.2-1B-Instruct,0.25
stereotypes,Llama-3.1-70B-Instruct,Llama-3.2-3B-Instruct,0.21
stereotypes,Llama-3.1-70B-Instruct,Qwen2.5-14B-Instruct,0.281
stereotypes,Llama-3.1-70B-Instruct,Qwen2.5-72B-Instruct,0.268
stereotypes,Llama-3.1-70B-Instruct,Qwen2.5-7B-Instruct,0.294
stereotypes,Llama-3.1-8B-Instruct,Llama-3.2-1B-Instruct,0.241
stereotypes,Llama-3.1-8B-Instruct,Llama-3.2-3B-Instruct,0.216
stereotypes,Llama-3.1-8B-Instruct,Qwen2.5-14B-Instruct,0.268
stereotypes,Llama-3.1-8B-Instruct,Qwen2.5-72B-Instruct,0.269
stereotypes,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,0.274
stereotypes,Llama-3.2-1B-Instruct,Llama-3.2-3B-Instruct,0.221
stereotypes,Llama-3.2-1B-Instruct,Qwen2.5-14B-Instruct,0.32
stereotypes,Llama-3.2-1B-Instruct,Qwen2.5-72B-Instruct,0.316
stereotypes,Llama-3.2-1B-Instruct,Qwen2.5-7B-Instruct,0.327
stereotypes,Llama-3.2-3B-Instruct,Qwen2.5-14B-Instruct,0.293
stereotypes,Llama-3.2-3B-Instruct,Qwen2.5-72B-Instruct,0.271
stereotypes,Llama-3.2-3B-Instruct,Qwen2.5-7B-Instruct,0.288
stereotypes,Qwen2.5-14B-Instruct,Qwen2.5-72B-Instruct,0.191
stereotypes,Qwen2.5-14B-Instruct,Qwen2.5-7B-Instruct,0.247
stereotypes,Qwen2.5-72B-Instruct,Qwen2.5-7B-Instruct,0.232
